#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B2879F
#Date Time: 2025-09-29 17:53:51.944
#Sample rate: 1.14943e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 50 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 1 V/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 2: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 10 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -5 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.003062163868581375,-0.003301464928793082,-0.7647105254650156
-0.003061293868581375,-0.002294175342245641,-0.7647105254650173
-0.003060423868581375,-0.003301464928792166,-0.7499928841350731
-0.003059553868581375,-0.003301464928792624,-0.7389546531376034
-0.003058683868581375,-0.001622648951213556,-0.7352752428051157
-0.003057813868581375,-0.004644517710855879,-0.7352752428051157
-0.003056943868581375,-0.004644517710855879,-0.7352752428051157
-0.003056073868581375,-0.004644517710855879,-0.7352752428051157
-0.003055203868581375,-0.004644517710855879,-0.7426340634700911
-0.003054333868581375,-0.003637228124308438,-0.731595832472628
-0.003053463868581375,-0.002965701733276811,-0.7205576014751649
-0.003052593868581375,-0.003301464928792624,-0.7279164221401403
-0.003051723868581374,-0.002294175342245183,-0.7168781911426773
-0.003050853868581374,-0.001286885755697742,-0.7242370118076527
-0.003049983868581375,-0.001622648951213251,-0.7131987808101995
-0.003049113868581375,-0.003301464928791097,-0.7168781911426739
-0.003048243868581375,-0.002629938537761302,-0.7131987808101912
-0.003047373868581375,-0.002629938537760997,-0.6948017291477594
-0.003046503868581375,-0.004644517710854963,-0.6948017291477511
-0.003045633868581375,-0.004644517710855879,-0.6984811394802372
-0.003044763868581375,-0.004308754515340218,-0.6948017291477527
-0.003043893868581375,-0.004308754515340065,-0.6984811394802372
-0.003043023868581375,-0.003637228124308743,-0.7021605498127248
-0.003042153868581375,-0.002965701733277116,-0.6984811394802405
-0.003041283868581375,-0.001622648951214167,-0.6911223188152668
-0.003040413868581375,-0.002629938537760539,-0.6911223188152634
-0.003039543868581375,-0.002294175342245183,-0.6690458568203372
-0.003038673868581375,-0.001622648951213556,-0.672725267152825
-0.003037803868581375,-0.00195841214672937,-0.6764046774853126
-0.003036933868581375,-0.00195841214672937,-0.672725267152825
-0.003036063868581375,-0.002629938537760997,-0.6580076258228742
-0.003035193868581375,-0.003637228124308438,-0.6580076258228742
-0.003034323868581375,-0.004980280906371692,-0.6543282154903864
-0.003033453868581375,-0.002629938537760997,-0.6580076258228742
-0.003032583868581375,-0.002629938537760997,-0.6506488051578988
-0.003031713868581374,-0.002629938537760997,-0.6543282154903864
-0.003030843868581374,-0.001622648951213556,-0.6469693948254112
-0.003029973868581375,-0.00262993853776008,-0.6396105741604424
-0.003029103868581375,-0.003301464928792014,-0.6359311638279513
-0.003028233868581375,-0.00162264895121432,-0.632251753495462
-0.003027363868581375,-0.003301464928791861,-0.6322517534954604
-0.003026493868581375,-0.002965701733276963,-0.6359311638279463
-0.003025623868581375,-0.002965701733276811,-0.6285723431629759
-0.003024753868581375,-0.003301464928792472,-0.6285723431629726
-0.003023883868581375,-0.002294175342245641,-0.6248929328304866
-0.003023013868581375,-0.002629938537760844,-0.6175341121655129
-0.003022143868581375,-0.001622648951214014,-0.6175341121655096
-0.003021273868581375,-0.001958412146729217,-0.6175341121655096
-0.003020403868581375,-0.002965701733276353,-0.6101752915005375
-0.003019533868581375,-0.002294175342245183,-0.6064958811680465
-0.003018663868581375,-0.000615359364666115,-0.5991370605030711
-0.003017793868581375,-0.003972991319824252,-0.5954576501705834
-0.003016923868581375,-0.002629938537760997,-0.5880988295056081
-0.003016053868581375,-0.002294175342245183,-0.5844194191731203
-0.003015183868581375,-0.000615359364666115,-0.5844194191731203
-0.003014313868581375,-0.001286885755697742,-0.577060598508145
-0.003013443868581375,-0.00195841214672937,-0.5807400088406327
-0.003012573868581375,-0.00195841214672937,-0.5733811881756573
-0.003011703868581374,-0.001622648951213556,-0.5697017778431696
-0.003010833868581374,-0.001286885755697742,-0.5513047261807311
-0.003009963868581375,-0.002294175342244268,-0.5513047261807311
-0.003009093868581375,-0.001286885755698659,-0.5549841365132155
-0.003008223868581375,-0.001958412146729064,-0.5513047261807328
-0.003007353868581375,-0.002965701733276353,-0.5476253158482451
-0.003006483868581375,-0.002294175342245489,-0.5586635468457015
-0.003005613868581375,-0.001958412146729522,-0.5476253158482485
-0.003004743868581375,-0.001622648951213709,-0.5365870848507853
-0.003003873868581375,-0.002629938537760539,-0.5329076745182943
-0.003003003868581375,-0.0009511225601826921,-0.5218694435208346
-0.003002133868581375,-0.0009511225601819287,-0.5255488538533156
-0.003001263868581375,-0.0002795961691506068,-0.5218694435208313
-0.003000393868581375,-0.001958412146728606,-0.5108312125233715
-0.002999523868581375,-0.00195841214672937,-0.5108312125233665
-0.002998653868581375,-0.001622648951213556,-0.5034723918583912
-0.002997783868581375,-0.00195841214672937,-0.5108312125233665
-0.002996913868581375,-0.00195841214672937,-0.5034723918583912
-0.002996043868581375,-0.001622648951213556,-0.5034723918583912
-0.002995173868581375,-0.001286885755697742,-0.5034723918583912
-0.002994303868581375,-0.001286885755697742,-0.4924341608609281
-0.002993433868581375,-0.0009511225601819287,-0.4850753401959527
-0.002992563868581375,-0.0002795961691503014,-0.481395929863465
-0.002991693868581374,-0.001622648951213556,-0.4740371091984896
-0.002990823868581374,-0.001286885755697742,-0.481395929863465
-0.002989953868581374,-0.001622648951214014,-0.4740371091984896
-0.002989083868581375,-0.00262993853776008,-0.4740371091984896
-0.002988213868581375,-0.001958412146729675,-0.4703576988660036
-0.002987343868581375,0.0007276934173959179,-0.4593194678685438
-0.002986473868581375,0.001063456612912801,-0.4519606472035668
-0.002985603868581375,-0.0009511225601810129,-0.4519606472035635
-0.002984733868581375,-0.00128688575569759,-0.4409224162061054
-0.002983863868581375,-0.0002795961691507594,-0.4409224162061004
-0.002982993868581375,-0.0006153593646659624,-0.4372430058736144
-0.002982123868581375,-0.000951122560181776,-0.4372430058736127
-0.002981253868581375,-0.00128688575569759,-0.4372430058736127
-0.002980383868581375,-0.0006153593646664204,-0.4262047748761547
-0.002979513868581375,-0.000951122560181776,-0.4151665438786916
-0.002978643868581375,-0.0002795961691503014,-0.4151665438786866
-0.002977773868581375,-0.0002795961691503014,-0.4188459542111743
-0.002976903868581375,-0.000615359364666115,-0.4298841852086374
-0.002976033868581375,-0.0009511225601819287,-0.4078077232137112
-0.002975163868581375,-0.001622648951213556,-0.3967694922162481
-0.002974293868581375,-0.000615359364666115,-0.3967694922162481
-0.002973423868581375,-0.000615359364666115,-0.4004489025487358
-0.002972553868581375,5.616702636551224e-05,-0.3930900818837604
-0.002971683868581374,-0.0009511225601819287,-0.3783724405538096
-0.002970813868581374,5.616702636551224e-05,-0.3783724405538096
-0.002969943868581374,-0.0009511225601814706,-0.3746930302213236
-0.002969073868581375,5.616702636459614e-05,-0.3783724405538063
-0.002968203868581375,5.616702636551224e-05,-0.3746930302213236
-0.002967333868581375,-0.001622648951212793,-0.371013619888836
-0.002966463868581375,-0.000615359364666573,-0.3746930302213203
